ticker,empresa,setor,mercado,preco_atual,preco_minimo_1a,preco_maximo_1a,retorno_acumulado_pct,retorno_30d_pct,retorno_7d_pct,volatilidade_anual_pct,sharpe_ratio,max_drawdown_pct,beta_vs_sp500,volume_medio_diario,volume_total_1a
INTC,Intel,Tecnologia,NYSE/NASDAQ,46.42,18.13,54.32,105.09,5.68,2.03,66.84,1.428,-30.05,1.64,102084260,25725233716
AMD,AMD,Tecnologia,NYSE/NASDAQ,203.04,78.21,264.33,104.17,-19.44,2.22,65.06,1.44,-31.88,2.297,47967495,12087808827
BBDC4.SA,Bradesco,Financeiro,B3,19.78,10.49,21.74,93.64,-5.1,-6.75,28.54,2.533,-10.08,0.432,33381877,8378851200
BPAC11.SA,BTG Pactual,Financeiro,B3,57.27,31.02,62.22,89.05,-4.91,-6.25,31.46,2.249,-10.22,0.479,8561359,2148901200
GOOGL,Alphabet,Tecnologia,NYSE/NASDAQ,306.07,144.2,343.45,89.02,-8.45,-0.08,30.63,2.283,-15.16,1.025,37250616,9387155419
NVDA,NVIDIA,Tecnologia,NYSE/NASDAQ,183.53,94.29,207.03,81.87,-2.65,0.58,42.1,1.663,-22.49,1.78,202090539,50926815912
B3SA3.SA,B3,Financeiro,B3,17.56,9.95,18.49,70.87,11.99,-5.03,35.51,1.734,-17.61,0.643,38566018,9680070700
LWSA3.SA,Locaweb,Tecnologia,B3,3.97,2.4,4.72,67.38,-13.09,12.46,47.0,1.364,-27.52,0.47,6257219,1570562200
GS,Goldman Sachs,Financeiro,NYSE/NASDAQ,834.19,452.84,970.75,62.79,-9.8,-3.19,31.86,1.727,-21.11,1.398,2301091,579874965
ITUB4.SA,Itaú Unibanco,Financeiro,B3,42.96,26.56,49.35,56.66,-2.62,-6.45,22.18,2.203,-13.01,0.358,24499901,6149475233
MS,Morgan Stanley,Financeiro,NYSE/NASDAQ,161.53,97.76,191.23,50.15,-11.57,-3.28,30.66,1.512,-20.26,1.367,6336205,1596723883
SANB11.SA,Santander BR,Financeiro,B3,31.95,23.25,37.5,34.93,-10.05,-4.68,27.65,1.258,-15.95,0.454,3048756,765237900
JPM,JPMorgan,Financeiro,NYSE/NASDAQ,289.41,207.32,334.61,29.25,-3.63,-2.74,25.2,1.17,-15.75,1.021,9625684,2425672543
BAC,Bank of America,Financeiro,NYSE/NASDAQ,48.31,33.63,56.93,23.12,-6.88,-2.46,26.81,0.931,-20.54,1.023,40432915,10189094785
WFC,Wells Fargo,Financeiro,NYSE/NASDAQ,78.66,59.98,96.39,22.24,-11.33,-4.75,29.46,0.847,-18.39,1.067,16329421,4115014303
TOTS3.SA,TOTVS,Tecnologia,B3,36.53,32.71,47.96,18.75,-22.64,-2.14,28.65,0.765,-24.8,0.257,3507009,880259400
AAPL,Apple,Tecnologia,NYSE/NASDAQ,259.75,171.67,285.92,18.53,0.67,-1.88,31.96,0.702,-24.2,1.339,53669658,13524754015
INTB3.SA,Intelbras,Tecnologia,B3,13.96,10.15,15.04,16.56,20.14,1.6,35.31,0.624,-32.52,0.525,2292479,575412400
BLK,BlackRock,Financeiro,NYSE/NASDAQ,965.0,799.25,1190.14,11.77,-12.32,-9.17,28.49,0.542,-19.72,1.175,697169,175686625
AMZN,Amazon,Tecnologia,NYSE/NASDAQ,213.77,167.32,254.0,10.78,-12.63,2.58,34.98,0.473,-21.74,1.37,47000841,11844212118
META,Meta,Tecnologia,NYSE/NASDAQ,650.61,483.57,788.82,7.59,-3.32,-0.45,39.2,0.384,-25.37,1.475,15363004,3871477204
ORCL,Oracle,Tecnologia,NYSE/NASDAQ,148.77,122.02,326.9,7.55,-14.94,-0.32,61.24,0.406,-58.25,1.414,20050214,5052654176
MSFT,Microsoft,Tecnologia,NYSE/NASDAQ,403.58,351.87,539.83,4.92,-15.83,1.26,26.37,0.318,-28.78,0.904,24732630,6232622982
MA,Mastercard,Financeiro,NYSE/NASDAQ,512.52,477.16,597.27,-4.22,-1.52,-1.63,23.96,-0.064,-16.95,0.805,3018268,760603707
POSI3.SA,Positivo,Tecnologia,B3,4.33,3.77,5.63,-5.12,-5.46,4.59,39.18,0.058,-33.12,0.446,1101354,276440000
V,Visa,Financeiro,NYSE/NASDAQ,313.1,305.98,371.15,-7.57,-3.54,-2.31,23.99,-0.216,-17.41,0.824,6741532,1698866300
BBAS3.SA,Banco do Brasil,Financeiro,B3,24.75,18.06,28.75,-9.89,2.54,-7.92,29.56,-0.213,-37.19,0.225,30633869,7689101300
CASH3.SA,Méliuz,Tecnologia,B3,3.45,2.99,10.55,-15.26,-16.46,-2.54,75.17,0.133,-68.43,0.778,2964909,744192392
CRM,Salesforce,Tecnologia,NYSE/NASDAQ,192.38,178.16,289.72,-27.01,-15.82,-0.3,35.16,-0.741,-38.51,1.048,8724244,2198509699
