Ticker,AAPL,AMD,AMZN,B3SA3.SA,BAC,BBAS3.SA,BBDC4.SA,BLK,BPAC11.SA,CASH3.SA,CRM,GOOGL,GS,INTB3.SA,INTC,ITUB4.SA,JPM,LWSA3.SA,MA,META,MS,MSFT,NVDA,ORCL,POSI3.SA,SANB11.SA,TOTS3.SA,V,WFC
AAPL,1.0,0.41,0.532,0.154,0.547,0.046,0.175,0.527,0.111,0.079,0.371,0.486,0.578,0.148,0.288,0.153,0.514,0.108,0.508,0.461,0.583,0.386,0.487,0.143,0.156,0.189,0.015,0.509,0.497
AMD,0.41,1.0,0.438,0.256,0.334,0.086,0.201,0.441,0.206,0.232,0.256,0.411,0.525,0.196,0.347,0.185,0.383,0.108,0.22,0.426,0.525,0.408,0.636,0.34,0.179,0.216,0.166,0.268,0.333
AMZN,0.532,0.438,1.0,0.16,0.479,0.145,0.203,0.459,0.118,0.146,0.484,0.513,0.495,0.138,0.284,0.123,0.478,0.116,0.405,0.619,0.538,0.501,0.54,0.246,0.135,0.213,0.074,0.381,0.463
B3SA3.SA,0.154,0.256,0.16,1.0,0.187,0.408,0.648,0.225,0.586,0.153,0.072,0.135,0.285,0.454,0.266,0.597,0.254,0.381,0.14,0.16,0.249,0.169,0.291,0.09,0.41,0.573,0.358,0.16,0.16
BAC,0.547,0.334,0.479,0.187,1.0,0.064,0.127,0.668,0.251,0.099,0.362,0.355,0.735,0.134,0.243,0.213,0.792,0.101,0.538,0.462,0.813,0.344,0.447,0.217,0.144,0.202,0.035,0.5,0.867
BBAS3.SA,0.046,0.086,0.145,0.408,0.064,1.0,0.375,0.081,0.425,0.031,0.041,0.057,0.115,0.316,0.085,0.471,0.153,0.208,0.045,0.101,0.08,0.08,0.136,0.125,0.265,0.491,0.219,0.061,0.038
BBDC4.SA,0.175,0.201,0.203,0.648,0.127,0.375,1.0,0.204,0.624,0.175,0.019,0.17,0.224,0.439,0.136,0.613,0.202,0.382,0.159,0.193,0.216,0.195,0.154,0.045,0.446,0.624,0.363,0.206,0.117
BLK,0.527,0.441,0.459,0.225,0.668,0.081,0.204,1.0,0.267,0.121,0.381,0.368,0.753,0.112,0.322,0.239,0.64,0.12,0.529,0.491,0.77,0.389,0.46,0.247,0.13,0.248,0.13,0.512,0.683
BPAC11.SA,0.111,0.206,0.118,0.586,0.251,0.425,0.624,0.267,1.0,0.188,0.011,0.091,0.311,0.427,0.236,0.667,0.279,0.442,0.148,0.143,0.295,0.145,0.157,0.054,0.444,0.556,0.423,0.18,0.211
CASH3.SA,0.079,0.232,0.146,0.153,0.099,0.031,0.175,0.121,0.188,1.0,0.065,0.105,0.167,0.146,0.045,0.176,0.1,0.178,0.032,0.086,0.151,0.127,0.204,0.048,0.278,0.107,0.142,0.081,0.111
